Game ID,Rental Date,Return Date,Rented Customer ID
zlda05,01/01/2019,30/07/2024,cfrm
gbm03,16/01/2019,17/01/2019,nqbu
pkmn21,31/01/2019,03/02/2019,wixm
gta06,15/02/2019,,ynry
spdr13,02/03/2019,07/03/2019,liqn
ptld11,17/03/2019,09/08/2024,axvu
gbm02,01/04/2019,07/04/2019,yhvn
mrtk20,16/04/2019,20/04/2019,gdcq
fifa02,01/05/2019,10/05/2019,aevj
mrio04,16/05/2019,24/05/2019,qryn
spdr13,31/05/2019,05/06/2019,xhbv
swrd24,15/06/2019,18/06/2019,rzdb
swrd24,30/06/2019,01/07/2019,liqn
smsh14,15/07/2019,18/07/2019,wlbs
forn09,30/07/2019,02/08/2019,qdrk
forn09,14/08/2019,15/08/2019,ohyz
pkmn21,29/08/2019,30/08/2019,eeps
mssc10,13/09/2019,16/09/2019,dtuw
forn09,28/09/2019,02/10/2019,gqoa
pkmn21,13/10/2019,18/10/2019,buac
mrtk20,28/10/2019,07/11/2019,kcpu
spdr13,12/11/2019,20/11/2019,jgha
frtn22,27/11/2019,04/12/2019,yhvn
mcrf08,12/12/2019,19/12/2019,qryn
frtn22,27/12/2019,29/12/2019,dtuw
crys17,11/01/2020,19/01/2020,ttkq
pkmn21,26/01/2020,31/01/2020,aeos
crys17,10/02/2020,16/02/2020,wixm
cod02,25/02/2020,26/02/2020,aevj
mssc10,11/03/2020,14/03/2020,wcth
spdr13,26/03/2020,,klxv
dsou12,10/04/2020,13/04/2020,yrhu
skyw15,25/04/2020,02/05/2020,qryn
frtn22,10/05/2020,14/05/2020,yljn
mcrf08,25/05/2020,04/06/2020,omdy
skyw15,09/06/2020,,whzw
wiis18,24/06/2020,28/06/2020,otiv
mcrf08,09/07/2020,16/07/2020,nqbu
cod01,24/07/2020,31/07/2020,wixm
crys17,08/08/2020,12/08/2020,jgsu
zmbi23,23/08/2020,28/08/2020,nizp
crys17,07/09/2020,10/09/2020,wkyn
gbm03,22/09/2020,27/09/2020,yhvn
frtn22,07/10/2020,17/10/2020,xnax
dsou12,22/10/2020,26/10/2020,qgjb
fifa02,06/11/2020,11/11/2020,cfrm
gbm01,21/11/2020,25/11/2020,qgjb
rdnt16,06/12/2020,,fykt
mrio04,21/12/2020,29/12/2020,agij
mrtk20,05/01/2021,15/01/2021,gqoa
spkl25,20/01/2021,22/01/2021,ttkq
cod01,04/02/2021,05/02/2021,nduf
smsh14,19/02/2021,28/02/2021,ngxu
asas19,06/03/2021,12/03/2021,gqff
zmbi23,21/03/2021,31/03/2021,agij
cod01,05/04/2021,15/04/2021,qejb
mcrf08,20/04/2021,28/04/2021,liqn
asas19,05/05/2021,07/05/2021,gdcq
gbm01,20/05/2021,27/05/2021,yhvn
gbm03,04/06/2021,14/06/2021,nizp
wiis18,19/06/2021,20/06/2021,rzdb
cod01,04/07/2021,14/07/2021,mcuq
gbm03,19/07/2021,25/07/2021,nszc
gbm02,03/08/2021,11/08/2021,wimp
cod02,18/08/2021,19/08/2021,rzdb
gbm01,02/09/2021,12/09/2021,yapc
cod02,17/09/2021,18/09/2021,wcth
mrio04,02/10/2021,04/10/2021,cxhx
gbm02,17/10/2021,25/10/2021,ynry
mcrf08,01/11/2021,09/11/2021,wcth
mrtk20,16/11/2021,20/11/2021,nduf
mrio04,01/12/2021,07/12/2021,klcc
cod01,16/12/2021,,cfrm
spkl25,31/12/2021,03/01/2022,hvyo
mssc10,15/01/2022,,fahu
dsou12,30/01/2022,01/02/2022,fbzk
gbm02,14/02/2022,19/02/2022,ohyz
forn09,01/03/2022,05/03/2022,ftlb
tlo03,16/03/2022,17/03/2022,hbui
crys17,31/03/2022,10/04/2022,rvhs
spkl25,15/04/2022,,nduf
smsh14,30/04/2022,02/05/2022,ytwc
halo07,15/05/2022,25/05/2022,lsdv
halo07,30/05/2022,01/06/2022,klcc
dsou12,14/06/2022,17/06/2022,upku
mcrf08,29/06/2022,30/06/2022,yyxi
dsou12,14/07/2022,19/07/2022,cyvw
mcrf08,29/07/2022,,buac
swrd24,13/08/2022,15/08/2022,nduf
pkmn21,28/08/2022,01/09/2022,vqtp
tlo03,12/09/2022,20/09/2022,xhbv
halo07,27/09/2022,30/09/2022,lboa
cod02,12/10/2022,19/10/2022,wimp
gbm01,27/10/2022,03/11/2022,wlbs
pkmn21,11/11/2022,14/11/2022,zwaw
swrd24,26/11/2022,06/12/2022,jgha
swrd24,11/12/2022,19/12/2022,cfrm
asas19,26/12/2022,28/12/2022,yhvn
cod02,10/01/2023,11/01/2023,cfrm
mrio04,25/01/2023,30/07/2024,yyry
pkmn21,09/02/2023,30/07/2024,yhvn
mrtk20,24/02/2023,04/03/2023,fbzk
asas19,11/03/2023,13/03/2023,yyxi
mrtk20,26/03/2023,04/04/2023,ohyz
fifa02,10/04/2023,15/04/2023,wfim
mrtk20,25/04/2023,03/05/2023,nduf
zmbi23,10/05/2023,15/05/2023,xhbv
mrtk20,25/05/2023,04/06/2023,ojij
forn09,09/06/2023,11/06/2023,buac
gbm02,24/06/2023,25/06/2023,hvyo
gbm02,09/07/2023,13/07/2023,dcbu
smsh14,24/07/2023,29/07/2023,bnvo
halo07,08/08/2023,16/08/2023,iqos
gbm02,23/08/2023,15/12/2023,nqbu
gbm03,07/09/2023,11/09/2023,uymi
smsh14,22/09/2023,13/12/2023,qjqu
asas19,07/10/2023,15/12/2023,yhvn
smsh14,09/10/2023,30/07/2024,yhvn
dsou12,22/10/2023,30/07/2024,mcuq
smsh14,30/07/2024,01/08/2024,mcuq
halo07,30/07/2024,,mcuq
