CustomerID,SubscriptionType,StartDate,EndDate
cfrm,Basic,2021-06-06,2023-09-11
nqbu,Premium,2022-09-21,2023-01-27
wixm,Basic,2023-12-14,2023-07-18
ynry,Basic,2022-03-07,2023-08-26
liqn,Premium,2021-07-03,2023-06-27
axvu,Premium,2022-07-30,2023-09-19
yhvn,Basic,2022-08-24,2024-11-21
gdcq,Premium,2021-03-09,2023-08-25
aevj,Premium,2020-08-14,2023-09-14
qryn,Basic,2023-09-04,2023-01-27
xhbv,Basic,2022-07-13,2022-12-17
rzdb,Premium,2021-08-18,2023-07-14
wlbs,Premium,2022-10-20,2023-02-22
qdrk,Premium,2021-02-01,2023-05-14
ohyz,Basic,2019-10-10,2023-04-07
eeps,Basic,2019-12-26,2023-10-10
dtuw,Basic,2023-12-11,2023-11-28
gqoa,Basic,2019-04-07,2024-09-22
buac,Basic,2021-07-31,2024-10-08
kcpu,Basic,2022-06-23,2023-12-21
jgha,Basic,2022-09-29,2024-09-09
ttkq,Basic,2021-03-23,2024-12-06
aeos,Premium,2022-08-24,2024-06-27
wcth,Basic,2023-01-22,2023-12-23
klxv,Basic,2022-11-09,2024-02-29
yrhu,Premium,2021-07-03,2024-04-02
yljn,Basic,2019-06-13,2024-05-27
omdy,Premium,2020-07-26,2024-03-18
whzw,Basic,2022-10-18,2024-03-13
otiv,Premium,2023-01-08,2024-04-16
jgsu,Basic,2023-03-17,2024-03-13
nizp,Premium,2023-08-27,2024-11-30
wkyn,Basic,2020-05-26,2024-02-11
xnax,Premium,2021-05-27,2024-10-13
qgjb,Basic,2022-07-04,2024-07-16
fykt,Basic,2022-04-09,2024-09-29
agij,Premium,2022-07-24,2024-07-28
mcuq,Basic,2021-05-18,2024-07-20
nszc,Basic,2023-03-09,2024-10-26
wimp,Premium,2019-08-16,2024-11-21
yapc,Basic,2020-01-16,2024-09-21
cxhx,Basic,2019-07-01,2024-03-16
mcuq,Basic,2022-03-29,2024-02-26
hvyo,Premium,2020-02-01,2024-02-29
fahu,Premium,2020-12-18,2024-10-16
fbzk,Premium,2022-05-19,2024-01-06
ftlb,Premium,2022-01-14,2024-08-23
hbui,Premium,2022-06-20,2023-12-28
rvhs,Basic,2020-12-17,2024-09-22
ytwc,Basic,2020-11-20,2024-09-22
lsdv,Basic,2023-07-11,2024-01-02
upku,Premium,2019-12-18,2024-05-27
yyxi,Basic,2021-03-02,2024-06-04
cyvw,Premium,2023-07-01,2024-02-02
vqtp,Premium,2021-10-28,2024-08-10
lboa,Premium,2021-08-06,2024-11-25
zwaw,Premium,2022-09-11,2024-07-27
uymi,Premium,2021-03-17,2024-04-05
qjqu,Basic,2019-01-27,2023-12-19
yyry,Premium,2022-03-24,2024-09-13
wfim,Basic,2023-09-27,2024-04-16
ojij,Basic,2021-11-11,2024-01-24
hvyo,Basic,2023-11-03,2023-12-30
dcbu,Premium,2019-07-30,2024-08-16
bnvo,Premium,2020-05-21,2024-09-28
iqos,Premium,2023-12-16,2025-09-05
uymi,Basic,2019-09-21,2025-04-13
qjqu,Basic,2020-10-21,2025-07-12
mcuq,Premium,2023-01-15,2025-07-01
zwaw,Basic,2023-12-11,2025-02-09
